DAY,HDFC,RELIANCE,DABUR,DLF,
236,1083.75,453.28,247.8,80.8,
237,1080.45,473.38,248.9,89.65,
238,1077.15,465.28,245.1,85.7,
239,1076.3,476.3,241.45,88.45,
240,1069.1,470.05,243.75,86.6,
241,1060.85,472.18,244.4,88.05,
242,1058.4,481.15,248.6,89,
243,1051.1,474.83,238.9,85,
244,1022.1,476.33,236.35,85,
245,1042.65,472.05,238.6,83.4,
246,1053.7,475.18,241.3,87.25,
247,1060.3,483.33,237.15,88.95,
248,1069.45,490.65,241.95,98.1,
249,1099.55,500.75,243.55,107.8,
250,1124.15,506.43,245.1,106.45,
251,1129,503.2,249.55,107.9,
252,1146.45,513.5,248.6,106.85,
253,1128.65,520.85,245.85,107.35,
254,1153.15,505.88,245.95,105.95,
255,1160.5,507.25,249.85,106.45,
256,1158.7,509.88,251.05,105.4,
257,1111.35,510.25,247.4,105.6,
258,1125.95,510.88,247.25,106.55,
259,1108.05,508,247.95,105.1,
260,1129.3,513.6,249.6,107.4,
261,1151.25,518.65,253.1,109.15,
262,1168.1,523.93,249.65,114.85,
263,1162.75,514.6,248.95,115.5,
264,1143.35,510.2,243.55,106.5,
265,1125.75,518.13,245.1,106.7,
266,1115.3,523.53,246.75,115,
267,1105.6,522.6,249.9,114.75,
268,1113.4,517.23,250.5,120.9,
269,1103.7,517.53,249.55,118.75,
270,1103.45,513.48,246,113.4,
271,1102.05,516.88,247.8,114.45,
272,1070.85,518.63,247.7,113.55,
273,1079.55,518.18,250.05,118.4,
274,1079.8,520.15,253.4,120.7,
275,1090.5,523.7,262.8,119.45,
276,1114.95,533.03,267.55,121.85,
277,1132.4,532.38,273.65,125.05,
278,1140,518.65,267.25,124.1,
279,1150.1,520.58,267.2,123.2,
280,1131.9,519.48,264.9,122.55,
281,1112,508.45,266.8,120.1,
282,1127.3,508.48,266.55,124.2,
283,1121.5,509.7,272.5,123.3,
284,1085.55,498.35,269.65,125.5,
285,1088.45,491.35,275.8,129.5,
286,1091.9,493.48,296.15,128.65,
287,1099.6,487.9,290.4,127.05,
288,1129.9,489.05,281.25,120.45,
289,1162.65,487.63,282.6,124.45,
290,1167.8,484.48,290.2,125.6,
291,1203.6,491.55,287.75,128.1,
292,1218.55,491.28,290.15,127.75,
293,1203.8,487.7,293.1,125.85,
294,1195.85,496.4,291.4,127.75,
295,1166,489.08,289.5,121.9,
296,1186.45,487.98,284.95,124.35,
297,1217.85,484.58,281.2,124.1,
298,1208.2,485.28,286.35,127.45,
299,1175.85,475.6,281.55,124.05,
300,1179.55,467.1,277.1,122.7,
301,1160.25,465,285.6,121.25,
302,1172.75,470.23,283.1,120,
303,1207.05,475.6,288.7,122.65,
304,1228.25,473.43,294.4,128,
305,1255.55,487.35,295.8,128.95,
306,1233.95,484.35,298.3,126.5,
307,1237.7,478.93,289.7,129.9,
308,1243.25,476.8,290.1,133.1,
309,1260.55,478.13,299.3,133.65,
310,1254.9,479.83,305.9,131.95,
311,1251.65,477.4,303.25,132.4,
312,1251.3,477.53,307.6,135.3,
313,1262.5,477.05,307.65,136.7,
314,1237.5,485.58,303.35,136.15,
315,1230.4,488.35,301.55,134.1,
316,1205.35,490.55,303.45,130.4,
317,1198.2,488.13,307.9,132.55,
318,1205.15,492.3,312.25,132.7,
319,1200.95,488.15,314.1,130.9,
320,1227.3,487.45,315.15,134.45,
321,1227.55,495.1,313.25,138.5,
322,1238.15,493.55,309.8,137.8,
323,1238.35,490.25,309.8,140.25,
324,1245.5,490.23,306.7,138.1,
325,1222.75,475.73,310.85,133.45,
326,1214.6,477.83,318.9,134.75,
327,1228.9,478.9,313,133.4,
328,1248.55,483.45,304.4,143.65,
329,1253.6,484.58,308.65,149.95,
330,1242.35,486.73,310.8,151.45,
331,1256.25,493.35,307.95,158.9,
332,1260.7,496.55,308,156.7,
333,1290.55,493.95,314.6,155.1,
334,1286.9,489.2,312.8,154.6,
335,1314.1,496.25,315.1,158.2,
336,1333.75,501.7,313.9,161,
337,1330.45,504.38,317.2,157.1,
338,1336.95,502.45,313.75,156.5,
339,1364.1,506.1,312,156.95,
340,1346.35,503.13,313.75,154.3,
341,1338.55,508.9,310.75,152.1,
342,1334.45,511.5,304,157.7,
343,1332.9,503.18,305.1,154.5,
344,1357,507.43,307.6,158.35,
